date,blockHash,totalAmountReleased,blockHeight,totalAmount
2021-07-20,fc542f421c9043f9a258c1e00dfb4f23f146cb1d4bede068c38834e0d3166b1f,,356721.0,1.0109614801944984e+16
2021-07-21,f4fd079064ac6daa459c30ec1efb3b6aa7d11ecaf27e93c259dad72bcb74d65b,,365266.0,1.0112255419908046e+16
2021-07-22,f726f91461665a6a3f844af19f705bed61907e67eb6adee244e83845ad8747ea,,373706.0,1.0114896307260852e+16
2021-07-23,618bf1df54ecf8c32c8148dc162d108135c28c6dfc84f0bd90315dc993f4abae,,382066.0,1.0117537754344178e+16
2021-07-24,a160889ff4ea598eefeab1a9ca42342702df763b2612bcb19fa33a4e6b09a0cc,,390760.0,1.0120180434125544e+16
2021-07-25,6ea802472aaaa28f9fa8f10074ce895fc402e602b68e62249cc11fffe79d0f9a,,399383.0,1.0122822962838166e+16
2021-07-26,9d6e4655dc06cd929304c312d032b2180d12b4c387513ab242861d6c7ea9adbf,,408092.0,1.012546700780416e+16
2021-07-27,8017b612474ebd520014f68590c1f4d924e380e371d844c69ee0a5ed9a467737,,416669.0,1.0128110809784958e+16
2021-07-28,d292bbbc1edf2bfc4b9f693417903f9e400b7b98db5c3f497da874ba87db6f0f,,425120.0,1.013075649616928e+16
2021-07-29,71a8b6eb2ef818de7f25ede5eed01f8854b7545fb033dd38b2d541b1812f2545,,433659.0,1.0133402207553468e+16
2021-07-30,f55fb76b09bab2f2d2fd84fb2937d4bea0afc92b56f38f7f4d857ef5fe952725,,442245.0,1.0136048548614362e+16
2021-07-31,b347f1f8598a2749f8a70db76326ae573f86b50aff6c73718e80ccbc181c1420,,450757.0,1.0138695779939968e+16
2021-08-01,d23e50c19a59ab47ac0839bc99d9a4eb7e5633b003fcb71104ce4b08732ed36c,,459268.0,1.014134344211932e+16
2021-08-02,aecd5e223364b39a5bb1d6120e7c14ec8a84b658c333e68d8b34c42d1d272524,,468048.0,1.0143991826378324e+16
2021-08-03,bb4332b74751311dc23d28f0d6dbf6337f0cd509aae0876b16124ffd87a4dae0,,476434.0,1.0146640733593554e+16
2021-08-04,42d9a5e8bf9ec9be766b2934afaae9270f83ebb8184271ca0c3d0cdf2eb55e37,,484913.0,1.0149290969002182e+16
2021-08-05,480afca4c2ddcc9353398aa877b334de67bf0cfdea12981200498dab820971c9,,493582.0,1.0151941336690756e+16
2021-08-06,e1a7f1bbfa8188e9b689e1e80c5b63e76e98a03e2f3ef6e651d7e93990db2c97,,502205.0,1.0154592833822406e+16
2021-08-07,89aa01b744282d0845433faef5211f91b24c8ea136bd871616a4fac0ec4eacd6,,510769.0,1.0157244770217924e+16
2021-08-08,f9c49d24c15319e68fec522428755dcf1233eb0c496aa9f2d494d5272d20fa8b,,519335.0,1.0159897468271814e+16
2021-08-09,df397a806eff72be7e09057f677e1956efa169ffdb24571246c8e185d3142c57,,527876.0,1.0162550613401302e+16
2021-08-10,e6605d1baef0799e70452502409c413143ffbc071f845519151aaeae67ed8099,,536230.0,1.0165204912199656e+16
2021-08-11,299d25db69156180890effe3012aaa53120a0af410d2c37da410793386f1fc1f,,544804.0,1.0167859474039608e+16
2021-08-12,a6a3a1fcff5c1e2dba595d9f6d2a845cbcd417c71f7935157d413c5a6167f62b,,553270.0,1.01705149980547e+16
2021-08-13,fac8c1b2e02f551baca37b808cbf93a6366fe532853acef057e1e8775828e287,,561836.0,1.0173170961954144e+16
2021-08-14,cfc5018b999918ddafac80414ac7c32dd994921b03a054f302d467f3306ac441,,570290.0,1.017582758868731e+16
2021-08-15,984426b64972456695ffc0e614b186bb2e89f980a1028553eb0b3fa79281bdac,,578814.0,1.0178485409057224e+16
2021-08-16,6fe9c4445e8bd4cf2cc8e8278edd263429d07f6669d3a5421d49a3a831c37eaa,,587392.0,1.0181143331297368e+16
2021-08-17,458dc91e89462aa4087fadc128df148e4161a70e362dee337586c682b1f02096,,595896.0,1.0183802109189868e+16
2021-08-18,b8ba4a661c8dbd1e34fe4583167759e8c7660e55f749822d5433c6b2a4531d29,,604445.0,1.0186461935456288e+16
2021-08-19,20da674c94911ab2d82240ff7a4e335b1ea2f7c9cc014934268e4fdd8903582d,,612953.0,1.0189122333244656e+16
2021-08-20,32a984f81bb11a326196317d99e6d9d7d45f7659d9b849388662fafe83b7a02f,,621466.0,1.0191783341142752e+16
2021-08-21,0c916991c0c2e8689fb6fc42f6349d5abd14deef59b9c77aca67db8ad8bfa6bd,,630056.0,1.0194443880904494e+16
2021-08-22,a053fd97e944e75dbb46f1da7b4e2e1cf4287a3db2ac096da0a844f40f8f7874,,638702.0,1.019710706445516e+16
2021-08-23,7a276d59a9756cee04075ee8ee7e3e917788d647bda220ef48ad8f989e2dd6c8,,647082.0,1.0199770296377788e+16
2021-08-24,f348505857ee71d9f443b8d2e1f7d3dc3da19e6cbf536a484a02d34af5ede100,,655583.0,1.0202434085115592e+16
2021-08-25,53852200512e2844710b8e9ef920d49db3963076f270592cf2ebe1d3ca451f2b,,664139.0,1.0205098353635232e+16
2021-08-26,cd7750040e2143820a51b480f01fb4bf1fb841b70fcf7222448216189bc98ff4,,672744.0,1.0207763626409024e+16
2021-08-27,b3ac3e55692bf02d3e5eb115a685674af42093c5936f9c3a9bb429ab191abb9a,,681279.0,1.0210429263543748e+16
2021-08-28,ea9ec3b95018f97416920a088a0321dade0c7f60496a5d821a07c1ea0e2f75e4,,689750.0,1.0213095643078254e+16
2021-08-29,d5a9d9290d74f38586dba487dbb03446996bc9fba63ded3886163e5981fd8f56,,698283.0,1.0215762811542792e+16
2021-08-30,5c542bf1b6a73971ca6e8209dc5ac7630eb915b92bb1c9c6c25ffe9e92955c8a,,706652.0,1.0218430877281498e+16
2021-08-31,5ddf6a4e71fe74d7730c7f79bcdd3471bb349ca528cdf20da0be431691093669,,715200.0,1.0221099060638902e+16
2021-09-01,8c705a122b58391befeb89d8ef457f61f62f22612facc834ee2d7fd30125c082,,723660.0,1.0223769207555282e+16
2021-09-02,460609f8a852f313e6bc45d5c9084b0c9ec0afa319b218a10b9a9bba4aeab6ff,,732073.0,1.0226439155713916e+16
2021-09-03,d1af4b8e8559411802c68ab2e1c71f21b0c738b2a02754678f8f72dd5211962b,,740504.0,1.0229108595444012e+16
2021-09-04,ac0d762033019fb74095cd7b43b4beeb84d17d475e463ffb46d9460973559464,,749044.0,1.0231781058954102e+16
2021-09-05,b24e4a7b830708d9f4988f8dd9f3fffa461f771f8d5333bf0fbe40726a50c573,,757713.0,1.0234452457593236e+16
2021-09-06,72dc0bb0c52e80885986256b36d2e8adc336df648c6fb228aa5b8746d2c92a5d,,766183.0,1.0237126007851148e+16
2021-09-07,df3f9be7a21b6c99a00b19d45275fd5c23e20ad9c31140edd34eb4299db65281,,774911.0,1.0239799784573928e+16
2021-09-08,1085f2f46e73c5ff6b96cb453465a6f3dda53a288d79f63d395fa0d818fb1642,,783610.0,1.0242473748879876e+16
2021-09-09,b5544540cd13d9026af0b81a09b356e24327d60057fcc46d1bb2bc59311ab2d7,,792062.0,1.0245147590915804e+16
2021-09-10,4e27963d3f306a1fd76b8d0ee06409da5be2a6f74bcaa80f56f538dddb62ce7b,,800726.0,1.024782434544234e+16
2021-09-11,1bf73ddf0ae1d434dfca80dec082c8ce1dbd9297bbc96bad267be21ea8c5a1fd,,809433.0,1.0250500505921728e+16
2021-09-12,eecee6a991e8a9411b9d0b4c9f98f2394a36cafe2bb8b46085194740fcd3bc38,,817902.0,1.0253177713878176e+16
2021-09-13,998f543f25df92a34eb7ad0ddfd8ca29edc87b36cd33b0db531616703649f9f3,,826340.0,1.0255855466083584e+16
2021-09-14,5c868fc399324ace8534b5d2e66d9ad1020856e2b23fd8bcfb6883459364284b,,834926.0,1.0258533561073064e+16
2021-09-15,39f5cd321a04feb6fe4e43503ab5e758087917f310e129f706239ef01c9b441f,,843504.0,1.026121265000428e+16
2021-09-16,66a46e8e2bee1fdd793e036c1bf3c478e83ab7cfe82c0088ec5ce43a7fb6de06,,852038.0,1.026389269451541e+16
2021-09-17,15f8e5a0b9071dc36ef4b6c9921afe06e2ffea398561aa179b935599f71886b5,,860591.0,1.0266573035638e+16
2021-09-18,d2945fd496e383149a84bbbf572921bdb4775dcb7553b458ab0e872590506d78,,868994.0,1.0269253525815916e+16
2021-09-19,434e8bd2e389faad46a695ad1790fd1c9afdb93882e97f1313f8dff3bbd44b56,,877607.0,1.0271935569564888e+16
