date,open_pool_count,closed_pool_count,closed_new_pool_count,delegator_count,delegator_avg_stake,delegator_avg_count_per_pool,pool_total_delegated
2022-06-24,38,251,0,83,6721.553373493975,2.1842105263157894,557888.9299999999
2022-06-25,38,251,0,84,6881.33603560714,2.210526315789474,578032.2269909998
2022-06-26,43,246,0,85,7399.612773047059,1.976744186046512,628967.085709
2022-06-27,48,246,0,121,62252.16986799174,2.520833333333333,7532512.554027
2022-06-28,52,242,0,229,66540.01964954149,4.403846153846154,15237664.499745
2022-06-29,54,243,0,271,75840.56823779705,5.018518518518518,20552793.992443003
2022-06-30,63,232,0,400,81692.220375935,6.349206349206349,32676888.150373995
2022-07-01,66,230,0,445,81635.96870806967,6.742424242424242,36328006.075091004
2022-07-02,69,230,0,472,81537.20663141526,6.840579710144928,38485561.530028
2022-07-03,70,229,0,498,81391.98178334537,7.114285714285714,40533206.928106
2022-07-04,70,229,0,530,87048.90419705094,7.571428571428571,46135919.224437
2022-07-05,72,229,0,552,86405.39875624275,7.666666666666667,47695780.113446
2022-07-06,72,229,0,567,84895.12623150618,7.875,48135536.573264
2022-07-07,74,229,0,580,84213.6845374224,7.837837837837838,48843937.031705
2022-07-08,75,229,0,620,79374.52038652258,8.266666666666667,49212202.639644
2022-07-09,76,230,0,628,79829.79693019905,8.263157894736842,50133112.472165
2022-07-10,77,230,0,636,87336.82458467453,8.25974025974026,55546220.435853
2022-07-11,78,231,0,666,102762.8233645841,8.538461538461538,68440040.360813
2022-07-12,79,231,0,691,103328.09778470769,8.746835443037975,71399715.569233
2022-07-13,80,232,0,704,133886.02962498722,8.8,94255764.855991
2022-07-14,82,231,0,715,132997.72034607411,8.71951219512195,95093370.047443
2022-07-15,84,227,0,722,131966.86801203326,8.595238095238095,95280078.704688
2022-07-16,84,227,0,727,131997.83533167126,8.654761904761905,95962426.286125
2022-07-17,84,227,0,729,132005.2231809218,8.678571428571429,96231807.698892
2022-07-18,84,225,0,753,128595.74625759096,8.964285714285714,96832596.931966
2022-07-19,84,220,0,763,128255.35620802098,9.083333333333334,97858836.78672
2022-07-20,85,217,0,788,130654.29869413703,9.270588235294118,102955587.37098
2022-07-21,86,215,0,794,130099.0671242418,9.232558139534884,103298659.296648
2022-07-22,83,203,0,809,132065.51317457974,9.74698795180723,106841000.158235
2022-07-23,82,198,0,816,132311.30051502574,9.951219512195122,107966021.220261
2022-07-24,82,193,0,822,131600.6596879866,10.024390243902438,108175742.26352498
2022-07-25,81,189,0,833,137853.2194897227,10.283950617283953,114831731.834939
2022-07-26,80,187,0,850,144280.7904498447,10.625,122638671.882368
2022-07-27,81,181,0,888,141350.18930087276,10.962962962962964,125518968.099175
2022-07-28,80,179,0,893,142065.19245498208,11.1625,126864216.862299
2022-07-29,80,179,0,903,141438.5671827143,11.2875,127719026.16599098
2022-07-30,80,179,0,914,140418.3732222604,11.425,128342393.125146
2022-07-31,80,178,0,921,140061.1695695961,11.5125,128996337.173598
2022-08-01,80,178,0,926,146575.06129196653,11.575,135728506.756361
2022-08-02,80,173,0,938,149087.67570174733,11.725,139844239.80823898
2022-08-03,79,173,0,940,149789.57349613195,11.89873417721519,140802199.08636403
2022-08-04,82,170,0,957,152496.83123549423,11.670731707317072,145939467.49236798
2022-08-05,82,167,0,968,152239.86935433783,11.804878048780488,147368193.534999
2022-08-06,83,166,0,977,153815.07192133882,11.771084337349398,150277325.26714802
2022-08-07,84,163,0,984,153748.832968125,11.714285714285714,151288851.640635
2022-08-08,86,162,0,991,154715.421428664,11.523255813953488,153322982.63580602
2022-08-09,85,162,0,994,156747.81984317204,11.694117647058825,155807332.924113
2022-08-10,83,160,0,1001,156064.7972072947,12.060240963855422,156220862.004502
2022-08-11,83,159,0,1011,155629.04629088528,12.180722891566266,157340965.800085
2022-08-12,84,157,0,1017,154579.90636907372,12.107142857142858,157207764.77734798
2022-08-13,84,157,0,1026,159457.25976491324,12.214285714285714,163603148.51880097
2022-08-14,84,156,0,1032,160495.6936338498,12.285714285714286,165631555.830133
2022-08-15,87,154,0,1049,160339.93471091133,12.057471264367816,168196591.511746
2022-08-16,89,153,0,1055,160589.38966787583,11.853932584269662,169421806.09960902
2022-08-17,89,153,0,1065,164740.26694090612,11.96629213483146,175448384.29206502
2022-08-18,88,153,0,1076,165108.93441626488,12.227272727272728,177657213.431901
2022-08-19,89,151,0,1081,164533.45563105826,12.146067415730338,177860665.537174
2022-08-20,89,151,0,1085,164930.66893516132,12.191011235955056,178949775.79465002
2022-08-21,89,149,0,1091,164857.4251447516,12.258426966292134,179859450.832924
2022-08-22,88,148,1,1093,168221.65578065324,12.420454545454543,183866269.768254
2022-08-23,88,140,1,1097,168011.89100163354,12.465909090909092,184309044.428792
2022-08-24,89,139,0,1102,169053.04085589293,12.382022471910112,186296451.023194
2022-08-25,89,135,0,1103,170648.68066827653,12.393258426966293,188225494.77710903
2022-08-26,88,134,0,1111,175998.26633651485,12.625,195534073.899868
2022-08-27,88,133,0,1116,176448.3244613423,12.681818181818182,196916330.098858
2022-08-28,89,131,1,1120,177699.06634858303,12.584269662921349,199022954.310413
2022-08-29,90,129,1,1121,177642.86539002942,12.455555555555556,199137652.1022229
2022-08-30,89,127,1,1123,177775.81875553695,12.617977528089888,199642244.462468
2022-08-31,91,124,1,1128,183493.1575490452,12.395604395604396,206980281.71532297
2022-09-01,90,124,1,1132,187884.26642416872,12.577777777777778,212684989.59215897
2022-09-02,89,125,2,1134,188199.6469082169,12.741573033707866,213418399.593918
2022-09-03,89,122,2,1134,188690.88523912523,12.741573033707866,213975463.861168
2022-09-04,90,121,2,1135,189613.44483733483,12.61111111111111,215211259.89037505
2022-09-05,89,121,2,1141,189513.7268902831,12.820224719101123,216235162.38181305
2022-09-06,91,121,2,1149,190134.33803859007,12.626373626373626,218464354.40634
2022-09-07,92,120,2,1148,190639.12741426047,12.478260869565217,218853718.271571
2022-09-08,92,119,1,1152,190937.6317217977,12.521739130434783,219960151.74351096
2022-09-09,91,119,2,1151,191614.8378191164,12.648351648351648,220548678.329803
2022-09-10,91,119,2,1154,191823.06866075305,12.68131868131868,221363821.234509
2022-09-11,91,119,2,1158,192671.84630203457,12.725274725274724,223113998.017756
2022-09-12,91,118,2,1165,197922.31352032872,12.802197802197805,230579495.25118297
2022-09-13,91,118,2,1166,198059.2863956355,12.813186813186814,230937127.937311
2022-09-14,92,119,2,1170,198151.994939618,12.717391304347826,231837834.07935297
2022-09-15,91,120,2,1174,196560.9699242581,12.9010989010989,230762578.691079
2022-09-16,92,120,2,1180,197198.66418259745,12.826086956521738,232694423.735465
2022-09-17,93,119,2,1189,177423.24835578553,12.78494623655914,210956242.29502887
2022-09-18,93,119,2,1190,178766.40043793447,12.795698924731182,212732016.521142
2022-09-19,93,119,2,1193,179688.31744241324,12.827956989247312,214368162.708799
2022-09-20,92,119,2,1198,180413.05245324623,13.021739130434783,216134836.838989
2022-09-21,94,118,2,1203,180995.3162895096,12.797872340425531,217737365.49628
2022-09-22,94,117,2,1205,183257.40032576848,12.819148936170214,220825167.392551
2022-09-23,94,117,2,1208,184724.9393753775,12.851063829787234,223147726.765456
2022-09-24,94,117,2,1211,186577.93991812057,12.882978723404255,225945885.240844
2022-09-25,94,117,2,1215,185998.39114867244,12.925531914893616,225988045.245637
2022-09-26,93,116,3,1217,186122.28008464008,13.086021505376344,226510814.8630069
2022-09-27,92,117,3,1224,186037.7841043349,13.304347826086955,227710247.743706
2022-09-28,92,116,3,1230,189073.23643518705,13.369565217391305,232560080.81528
2022-09-29,91,115,3,1232,189606.19506795536,13.538461538461538,233594832.323721
2022-09-30,91,116,3,1237,189029.62402716168,13.593406593406591,233829644.92159897
2022-10-01,90,115,3,1240,193141.11594413465,13.77777777777778,239494983.7707269
2022-10-02,90,115,3,1243,192167.41088774093,13.811111111111112,238864091.733462
2022-10-03,90,115,3,1246,191908.7092095425,13.844444444444443,239118251.67509
2022-10-04,91,115,3,1248,191576.79128538945,13.714285714285714,239087835.524166
2022-10-05,91,115,3,1250,193482.105922564,13.736263736263735,241852632.403205
2022-10-06,91,112,3,1257,196950.5413855752,13.813186813186814,247566830.521668
2022-10-07,91,111,3,1260,197290.89863852065,13.846153846153848,248586532.284536
2022-10-08,90,111,3,1266,196972.10680737125,14.066666666666666,249366687.218132
2022-10-09,90,111,3,1270,196977.6009486677,14.11111111111111,250161553.204808
2022-10-10,90,111,3,1271,197505.21407600315,14.122222222222222,251029127.0906
2022-10-11,90,111,3,1271,198051.86097170968,14.122222222222222,251723915.295043
2022-10-12,89,110,4,1275,197931.3041392321,14.325842696629213,252362412.77752087
2022-10-13,89,110,4,1276,198553.9233149365,14.337078651685394,253354806.149859
2022-10-14,89,110,4,1276,198604.2484789992,14.337078651685394,253419021.059203
2022-10-15,88,110,4,1281,197937.355333324,14.556818181818182,253557752.18198803
2022-10-16,88,110,4,1283,197960.3211614061,14.579545454545457,253983092.050084
2022-10-17,88,110,3,1288,198836.45836623447,14.636363636363637,256101358.37571
2022-10-18,87,110,3,1297,199173.4516080401,14.908045977011492,258327966.735628
2022-10-19,87,110,3,1299,199268.48939925863,14.93103448275862,258849767.729637
2022-10-20,87,111,3,1303,200544.55308596624,14.977011494252874,261309552.671014
2022-10-21,87,111,3,1303,199716.1278824205,14.977011494252874,260230114.630794
2022-10-22,89,111,3,1309,199294.8445665317,14.707865168539326,260876951.53759003
2022-10-23,89,111,3,1314,198787.11637515604,14.764044943820224,261206270.91695505
2022-10-24,90,111,3,1315,198588.98940792243,14.61111111111111,261144521.071418
2022-10-25,90,111,3,1319,198160.52475433133,14.655555555555557,261373732.150963
2022-10-26,90,111,3,1322,197920.9213149032,14.688888888888888,261651457.978302
2022-10-27,90,111,3,1326,197944.0454039902,14.733333333333333,262473804.205691
2022-10-28,90,110,3,1325,197879.54950888525,14.72222222222222,262190403.09927297
2022-10-29,90,110,3,1329,197421.23299503312,14.766666666666667,262372818.650399
2022-10-30,90,110,3,1332,197227.49926990163,14.8,262707029.02750897
2022-10-31,89,110,3,1327,199289.18855237984,14.910112359550562,264456753.20900804
2022-11-01,89,110,3,1326,199614.9688549261,14.898876404494382,264689448.701632
2022-11-02,88,109,3,1328,200689.806557232,15.090909090909092,266516063.108004
2022-11-03,88,107,3,1331,207255.62856481443,15.125,275857241.619768
2022-11-04,88,107,3,1335,208813.80345879027,15.170454545454543,278766427.617485
2022-11-05,87,107,3,1337,208567.6434598945,15.367816091954024,278854939.305879
2022-11-06,87,107,3,1341,208362.9377896555,15.413793103448276,279414699.575928
2022-11-07,87,107,3,1343,208892.4980010484,15.436781609195402,280542624.815408
2022-11-08,87,106,3,1349,210657.9497171705,15.505747126436782,284177574.168463
2022-11-09,87,106,3,1351,212798.4883477284,15.528735632183908,287490757.757781
2022-11-10,87,106,3,1354,212629.15419387448,15.563218390804598,287899874.77850604
2022-11-11,89,104,3,1358,215045.462814067,15.258426966292134,292031738.501503
2022-11-12,89,103,3,1359,215659.41101800665,15.269662921348315,293081139.573471
2022-11-13,90,103,3,1355,219436.4670217313,15.055555555555555,297336412.814446
2022-11-14,90,102,3,1367,218131.9762059576,15.188888888888888,298186411.473544
2022-11-15,90,102,3,1374,219407.61278586608,15.266666666666667,301466059.96778
2022-11-16,90,103,3,1380,219336.96240339425,15.333333333333334,302685008.116684
2022-11-17,89,102,3,1388,218477.05495431848,15.595505617977528,303246152.27659404
2022-11-18,89,102,3,1395,219450.2111893527,15.674157303370787,306133044.609147
2022-11-19,89,102,3,1398,218766.82388063945,15.707865168539326,305836019.785134
2022-11-20,90,102,3,1404,218217.7458713376,15.6,306377715.203358
2022-11-21,91,100,3,1405,218576.970867684,15.43956043956044,307100644.069096
2022-11-22,91,100,3,1407,218910.793198086,15.461538461538462,308007486.029707
2022-11-23,91,100,3,1413,226416.2699524953,15.527472527472527,319926189.442876
2022-11-24,91,99,3,1420,224265.42074949364,15.604395604395604,318456897.46428096
2022-11-25,91,99,3,1424,225848.8527862212,15.648351648351648,321608766.367579
2022-11-26,90,100,3,1423,226111.6868898468,15.811111111111112,321756930.444252
2022-11-27,90,100,3,1429,225620.3708116725,15.877777777777778,322411509.88988
2022-11-28,90,100,3,1428,226645.8001774937,15.866666666666667,323650202.653461
2022-11-29,90,100,3,1434,263103.9468583724,15.933333333333334,377291059.794906
2022-11-30,90,99,3,1433,263403.8757694752,15.922222222222222,377457753.977658
2022-12-01,90,98,3,1435,263275.97096116794,15.944444444444445,377801018.329276
2022-12-02,91,98,3,1425,254908.48719229264,15.65934065934066,363244594.249017
2022-12-03,91,98,3,1428,254186.12731172133,15.692307692307692,362977789.8011381
2022-12-04,90,98,3,1430,254054.05059154617,15.88888888888889,363297292.345911
2022-12-05,90,98,3,1433,258775.2001303859,15.922222222222222,370824861.786843
2022-12-06,90,98,3,1440,259701.4473154236,16.0,373970084.13421
2022-12-07,91,98,3,1438,259765.8502237524,15.802197802197805,373543292.621756
2022-12-08,92,98,3,1444,259647.1083413006,15.695652173913045,374930424.4448381
2022-12-09,92,98,3,1444,259339.9720761357,15.695652173913045,374486919.67794
2022-12-10,92,98,3,1441,256751.94151845315,15.66304347826087,369979547.728091
2022-12-11,92,98,3,1444,255839.95403242795,15.695652173913045,369432893.622826
2022-12-12,92,98,3,1445,255453.76900382768,15.706521739130435,369130696.210531
2022-12-13,92,98,3,1450,255108.02887152688,15.76086956521739,369906641.863714
2022-12-14,92,98,3,1452,255000.7645967527,15.782608695652174,370261110.19448495
2022-12-15,92,98,3,1462,254248.9392607791,15.891304347826088,371711949.199259
2022-12-16,91,98,3,1468,254171.6043883379,16.13186813186813,373123915.24208
2022-12-17,92,98,3,1470,254998.9911504864,15.978260869565217,374848516.991215
2022-12-18,92,98,3,1472,255095.2644089877,16.0,375500229.21003
2022-12-19,92,97,3,1471,256880.3294227628,15.98913043478261,377870964.580884
2022-12-20,92,97,3,1468,257300.25281102583,15.956521739130435,377716771.126586
2022-12-21,92,97,3,1455,259858.6116112378,15.815217391304348,378094279.894351
2022-12-22,92,97,3,1456,260335.99212345533,15.826086956521738,379049204.531751
2022-12-23,91,96,3,1461,260683.45445044013,16.054945054945055,380858526.952093
2022-12-24,90,95,3,1463,260756.57841549005,16.255555555555556,381486874.221862
2022-12-25,90,96,3,1460,261483.74491927668,16.22222222222222,381766267.582144
2022-12-26,90,96,3,1463,261120.17396593708,16.255555555555556,382018814.512166
2022-12-27,90,97,3,1464,262990.30667518376,16.266666666666666,385017808.972469
2022-12-28,89,98,3,1463,263047.7721194334,16.43820224719101,384838890.610731
2022-12-29,91,97,3,1464,263782.6763755874,16.087912087912088,386177838.21386
2022-12-30,92,97,3,1467,266893.5817177669,15.945652173913045,391532884.379964
2022-12-31,92,97,3,1470,275512.47127979866,15.978260869565217,405003332.781304
2023-01-01,92,97,3,1471,275324.815653501,15.98913043478261,405002803.8263
2023-01-02,93,95,3,1477,275191.63720948953,15.881720430107526,406458048.158416
