date,total_amount,total_encrypted_amount,account_count,baker_count
2021-10-03,10309556218.409988,0.0,1993,13
2021-10-04,10312248382.940714,0.0,1995,13
2021-10-05,10314940876.39034,0.0,1999,13
2021-10-06,10317635842.455564,0.0,2007,13
2021-10-07,10320330038.865318,0.0,2018,13
2021-10-08,10323025640.77396,0.0,2027,13
2021-10-09,10325720932.52611,0.0,2034,13
2021-10-10,10328418176.61478,0.0,2037,13
2021-10-11,10331114134.77673,0.0,2043,13
2021-10-12,10333813701.178774,0.0,2049,13
2021-10-13,10336512348.525757,0.0,2050,13
2021-10-14,10339211419.386576,0.0,2051,13
2021-10-15,10341911648.241104,0.0,2057,13
2021-10-16,10344612300.92052,0.0,2060,13
2021-10-17,10347314307.74038,0.0,2061,13
