year_month,account,monthly_avg_staked_amount,days_active_in_month,monthly_avg_total_balance,monthly_avg_total_staked
2021-06,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,653501616.8139584,21,10030741219.57878,5155366855.65701
2021-07,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,661276867.5220616,31,10099088878.762686,5216877509.352282
2021-08,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,670585923.394916,31,10181171140.348505,5290752160.320512
2021-09,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,679876528.2923999,30,10262578672.732378,5364024005.297078
2021-10,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,689184600.0685457,31,10344640790.536222,5437880887.040445
2021-11,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,698597108.2977483,30,10427355701.695917,5512330254.395542
2021-12,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,707675864.0114348,28,10510735356.275908,5518592096.669585
2022-01,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,105901733.42117955,11,10596163291.596704,5506965629.4718275
2022-02,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,106569166.9296681,28,10678096978.251553,8530504721.472508
2022-03,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,107504709.44299117,31,10760674959.36261,8530381296.208062
2022-04,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,108355195.99929217,23,10836796244.096668,8703391739.266043
2021-06,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,402173649.55374485,21,10030741219.57878,5155366855.65701
2021-07,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,406969611.29209304,31,10099088878.762686,5216877509.352282
2021-08,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,412731939.20907277,31,10181171140.348505,5290752160.320512
2021-09,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,418447602.56612796,30,10262578672.732378,5364024005.297078
2021-10,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,424219183.34801435,31,10344640790.536222,5437880887.040445
2021-11,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,430034200.43017554,30,10427355701.695917,5512330254.395542
2021-12,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,435931724.97627383,31,10510735356.275908,5518592096.669585
2022-01,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,454710050.75488716,31,10596163291.596704,5506965629.4718275
2022-02,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,835678317.8638717,28,10678096978.251553,8530504721.472508
2022-03,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,843068184.2905233,31,10760674959.36261,8530381296.208062
2022-04,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,849851289.1827074,23,10836796244.096668,8703391739.266043
