date,amount_to_make_top_100,amount_to_make_top_250
2022-03-14,1857213.587646,525503.044605
2022-03-15,1858643.518046,525503.407329
2022-03-16,1872762.146909,525503.407329
2022-03-17,1859779.13206,525503.044605
2022-03-18,1860367.898148,525503.407329
2022-03-19,1860928.504674,525503.407329
2022-03-20,1860928.504674,525503.407329
2022-03-21,1861773.251796,525503.407329
2022-03-22,1872762.146909,525503.518665
2022-03-23,1872762.146909,525503.518665
2022-03-24,2063974.44453,526343.546499
2022-03-25,2173129.690244,526343.546499
2022-03-26,2173703.511982,526343.546499
2022-03-27,2174270.469125,525504.546499
2022-03-28,2174805.128235,525504.546499
2022-03-29,2199017.130165,529636.388159
2022-03-30,2199275.498704,530688.142167
2022-03-31,2199549.180997,530688.142167
2022-04-01,2199821.501997,530688.142167
2022-04-02,2211498.343162,530688.142167
2022-04-03,2212631.979495,530688.142167
2022-04-04,2453627.269086,532309.546499
2022-04-05,2213457.00592,533081.166718
2022-04-06,2201524.514724,532304.518665
2022-04-07,2202081.138674,533626.902062
2022-04-08,2202955.481436,537670.341939
2022-04-09,2204079.216532,558371.121211
2022-04-10,2204341.406171,556199.892166
2022-04-11,2205214.007244,556199.892166
2022-04-12,2219050.14883,556199.892166
2022-04-13,2219327.811524,558371.121211
2022-04-14,2219645.890745,562314.243876
2022-04-15,2220480.672075,564688.775617
2022-04-16,2221641.552088,564688.775617
2022-04-17,2221641.552088,564688.775617
2022-04-18,2221641.552088,571485.909495
2022-04-19,2222219.654945,571485.909495
2022-04-20,2222504.154816,571485.909495
2022-04-21,2223934.838738,571485.909495
2022-04-22,2224533.658799,571485.909495
2022-04-23,2225693.600851,571485.909495
2022-04-24,2227109.816556,571485.909495
2022-04-25,2228557.505803,571485.909495
2022-04-26,2229440.622927,571485.909495
2022-04-27,2229731.119925,571485.909495
2022-04-28,2230033.156647,571485.909495
2022-04-29,2932361.913776,588243.972167
2022-04-30,2932361.913776,588243.972167
2022-05-01,2932361.913776,588243.972167
2022-05-02,3033512.786803,591619.520963
2022-05-03,3033512.786803,588243.972167
2022-05-04,2932361.913776,586738.462997
2022-05-05,2932361.913776,586738.462997
2022-05-06,2932361.913776,586320.349631
2022-05-07,2932361.913776,586601.110175
2022-05-08,2932361.913776,586601.110175
2022-05-09,2932361.913776,586738.462997
2022-05-10,2932361.913776,586738.462997
2022-05-11,2932361.913776,586738.462997
2022-05-12,2932361.913776,583680.232286
2022-05-13,2932361.913776,583680.232286
2022-05-14,2932361.913776,583680.232286
2022-05-15,3033512.786803,586738.462997
2022-05-16,3033512.786803,587508.904637
2022-05-17,3033512.786803,586738.462997
2022-05-18,3033512.786803,591619.520963
2022-05-19,3033512.786803,591619.520963
2022-05-20,3033512.786803,591619.520963
2022-05-21,3033512.786803,591619.520963
2022-05-22,3033512.786803,592253.54611
2022-05-23,3229847.15991,592253.54611
2022-05-24,3279251.325674,599388.378551
2022-05-25,3033512.786803,598546.963032
2022-05-26,3233945.487489,598827.623116
2022-05-27,3236250.161434,598827.623116
2022-05-28,3237699.38046,592904.528128
2022-05-29,3239117.376711,592904.528128
2022-05-30,3252519.476261,605939.400609
2022-05-31,3253422.013292,606204.554367
2022-06-01,3255162.519229,606204.554367
2022-06-02,3256389.054484,606494.027925
2022-06-03,3257214.086639,600010.000001
2022-06-04,3267118.509154,600010.000001
2022-06-05,3268552.884859,599388.378551
2022-06-06,3260960.971144,592904.528128
2022-06-07,3262354.554248,599388.378551
2022-06-08,3264935.692415,599388.378551
2022-06-09,3265229.144666,599388.378551
2022-06-10,3265849.831203,599402.378551
2022-06-11,3266432.494919,599402.378551
2022-06-12,3267007.838376,599402.378551
2022-06-13,3267898.192098,599402.378551
2022-06-14,3267898.192098,599402.378551
2022-06-15,3268504.15764,592918.528128
2022-06-16,3280971.30093,592267.54611
2022-06-17,3282121.348888,592918.528128
2022-06-18,3283540.775706,592918.528128
2022-06-19,3285039.345033,592918.528128
2022-06-20,3285635.265519,599402.378551
2022-06-21,3287360.21221,599402.378551
2022-06-22,3288229.065159,600010.000001
2022-06-23,3339655.91411,600010.000001
2022-06-24,3339655.91411,611886.667278
2022-06-25,3339655.91411,612176.032165
2022-06-26,3339655.91411,612176.032165
2022-06-27,3339655.91411,612721.836505
2022-06-28,3694580.389968,622314.518665
2022-06-29,3654906.840001,622314.518665
2022-06-30,3654906.840001,622328.546499
2022-07-01,3654906.840001,622328.602167
2022-07-02,3654906.840001,622328.602167
2022-07-03,3654906.840001,622328.602167
2022-07-04,3654906.840001,624756.902166
2022-07-05,3437396.273843,624533.470382
2022-07-06,3438266.609024,622655.083249
2022-07-07,3439439.734724,622709.652167
2022-07-08,3440611.431133,622367.602167
2022-07-09,3442365.150593,622367.602167
2022-07-10,3443540.816241,622367.602167
2022-07-11,3444438.283424,622328.602167
2022-07-12,3445324.075148,624756.902166
2022-07-13,3654920.840001,625259.391133
2022-07-14,3694574.455068,625811.28813
2022-07-15,3694574.455068,626022.927782
2022-07-16,3694574.455068,625707.773624
2022-07-17,3694574.455068,625857.235459
2022-07-18,3694574.455068,633073.438121
2022-07-19,3694574.455068,628192.090019
2022-07-20,3694574.455068,628192.090019
2022-07-21,3933122.63504,637724.533601
2022-07-22,3933758.540619,637724.533601
2022-07-23,3935043.717571,633073.438121
2022-07-24,4139902.331864,633073.438121
2022-07-25,4432787.123492,628442.971811
2022-07-26,3996379.703771,633073.438121
2022-07-27,3940732.715142,646821.670629
2022-07-28,3941049.777646,648213.098009
2022-07-29,3941685.793928,648213.098009
2022-07-30,3942597.404372,648133.049204
2022-07-31,3943458.26062,648133.049204
2022-08-01,4002320.329033,646821.670629
2022-08-02,4003446.275137,653552.565874
2022-08-03,4004560.50772,653674.361837
2022-08-04,3947007.505093,653791.293437
2022-08-05,4006859.639744,660151.57855
2022-08-06,4007840.4738,660151.57855
2022-08-07,4008924.744211,660151.57855
2022-08-08,4010000.322111,660151.57855
2022-08-09,3694574.455068,660151.57855
2022-08-10,3954328.203531,660445.59702
2022-08-11,3654920.840001,668910.344851
2022-08-12,3654920.840001,669091.664847
2022-08-13,3654920.840001,669272.997652
2022-08-14,3654920.840001,669455.034582
2022-08-15,4018011.655604,690514.609338
2022-08-16,4019111.946994,691541.03868
2022-08-17,4020165.880662,691541.03868
2022-08-18,4484004.46154,694232.928625
2022-08-19,4484004.46154,694232.928625
2022-08-20,4484004.46154,695567.296897
2022-08-21,4484004.46154,695567.296897
2022-08-22,4442034.0,699440.41366
2022-08-23,4442034.0,704670.843828
2022-08-24,4442034.0,703864.500864
2022-08-25,4442034.0,705775.255557
2022-08-26,4442034.0,713037.542727
2022-08-27,4442034.0,708561.706973
2022-08-28,4442034.0,708561.706973
2022-08-29,4442034.0,713669.044387
2022-08-30,4432801.123492,713669.044387
2022-08-31,4432801.123492,713669.044387
2022-09-01,4177955.081678,714517.205617
2022-09-02,4177955.081678,722305.949305
2022-09-03,4177955.081678,730371.915352
2022-09-04,4177955.081678,730552.723186
2022-09-05,4040036.972378,723916.65792
2022-09-06,3984478.719591,748505.49372
2022-09-07,3985927.812875,727719.799618
2022-09-08,3988342.883209,751905.319477
2022-09-09,3989535.203357,728782.882518
2022-09-10,3991010.65861,752262.082637
2022-09-11,3992500.465292,752440.172345
2022-09-12,4047429.174919,752618.28998
2022-09-13,4048380.347434,723916.65792
2022-09-14,4024995.498397,723916.65792
2022-09-15,3998141.558007,713462.286156
2022-09-16,3999032.887131,713462.286156
2022-09-17,3999618.80581,712629.197941
2022-09-18,4001412.91483,712629.197941
2022-09-19,4003815.135305,712928.333432
2022-09-20,4005616.369609,713228.541142
2022-09-21,4030853.546768,731245.952116
2022-09-22,4032071.95209,754401.286156
2022-09-23,4059338.34934,754401.286156
2022-09-24,4060369.408976,756102.124838
2022-09-25,4061403.513091,756396.757946
2022-09-26,4062420.815774,756987.579345
2022-09-27,4076381.69231,779544.344959
2022-09-28,4076381.69231,780240.842167
2022-09-29,4076381.69231,805103.126897
2022-09-30,4343987.017441,821501.148665
2022-10-01,4343987.017441,821501.148665
2022-10-02,4343987.017441,821501.148665
2022-10-03,4076381.69231,821501.148665
2022-10-04,4076381.69231,805103.126897
2022-10-05,4071714.891567,805103.126897
2022-10-06,3654948.840001,797011.580559
2022-10-07,3654948.840001,797327.208683
2022-10-08,3654948.840001,800971.48553
2022-10-09,3654948.840001,801098.566418
2022-10-10,3668730.92308,762308.770042
2022-10-11,3668730.92308,761921.02472
2022-10-12,3668730.92308,761922.02472
2022-10-13,3694574.455068,779125.0
2022-10-14,3725228.628896,762601.708024
2022-10-15,3725228.628896,762601.708024
2022-10-16,3725228.628896,779125.0
2022-10-17,3725228.628896,779125.0
2022-10-18,4041014.622524,779544.344959
2022-10-19,3755147.006304,779125.0
2022-10-20,3756013.352371,780240.842167
2022-10-21,4044816.366053,779125.0
2022-10-22,4045991.822744,779544.344959
2022-10-23,4046882.44407,780240.842167
2022-10-24,4048656.689182,779544.344959
2022-10-25,4049848.478514,779558.344959
2022-10-26,4050727.061365,780254.842167
2022-10-27,4086403.088955,805117.126897
2022-10-28,4087304.469283,801969.145114
2022-10-29,4088459.549271,802188.406607
2022-10-30,4088905.930327,802427.711466
2022-10-31,4089568.95109,780254.842167
2022-11-01,4091603.778006,792336.405333
2022-11-02,4092983.829906,792336.405333
2022-11-03,4101300.818423,780254.842167
2022-11-04,4102403.062872,805117.126897
2022-11-05,4103397.84047,805117.126897
2022-11-06,4073777.244918,841055.755364
2022-11-07,4075047.47453,841304.447654
2022-11-08,4067874.837007,841529.280649
2022-11-09,3732088.135829,857236.086479
2022-11-10,3733665.647856,866593.801724
2022-11-11,3816693.296294,866593.801724
2022-11-12,3817784.466799,869043.593372
2022-11-13,3892378.855753,866593.801724
2022-11-14,3954216.000001,866593.801724
2022-11-15,3954216.000001,868372.182167
2022-11-16,3954216.000001,869043.593372
2022-11-17,3954216.000001,869043.593372
2022-11-18,3897625.188279,866226.516525
2022-11-19,3898887.91037,866456.897351
2022-11-20,3898887.91037,866456.897351
2022-11-21,3901632.827457,866593.801724
2022-11-22,3903811.448379,867145.153753
2022-11-23,3954216.000001,882325.335946
2022-11-24,3954216.000001,893544.474296
2022-11-25,3954216.000001,893544.474296
2022-11-26,3954216.000001,894005.41413
2022-11-27,3954216.000001,894229.548368
2022-11-28,3954216.000001,896061.82417
2022-11-29,4094215.216314,905496.156076
2022-11-30,4102454.916333,905730.369572
2022-12-01,4103339.806158,923333.07155
2022-12-02,4097507.31135,917203.407219
2022-12-03,4100501.390439,917203.407219
2022-12-04,4101396.696529,906661.319547
2022-12-05,4101981.387809,906891.688225
2022-12-06,4102864.899455,899053.675946
2022-12-07,4104651.055018,899053.675946
2022-12-08,4107078.983465,907586.629296
2022-12-09,4107675.138708,914775.001129
2022-12-10,3954216.000001,908052.792498
2022-12-11,3954216.000001,907417.845946
2022-12-12,3954216.000001,899480.213618
2022-12-13,3954216.000001,900347.891555
2022-12-14,3931015.259526,900585.765878
2022-12-15,3931015.259526,900823.950123
2022-12-16,3954216.000001,901062.483781
2022-12-17,3954216.000001,909690.805442
2022-12-18,3954216.000001,909930.027228
2022-12-19,3954216.000001,910169.161144
2022-12-20,4000737.712284,910408.190566
